ADM4_EN,ADM3_EN,ADM4_PCODE,pop,pop_est
Barangay 272,City of Manila,PH1303901272,1103.0,909.5785831692008
Barangay 273,City of Manila,PH1303901273,454.0,942.4216869808752
Barangay 274,City of Manila,PH1303901274,2062.0,558.8664652374399
Barangay 275,City of Manila,PH1303901275,20995.0,12448.244906183008
Barangay 276,City of Manila,PH1303901276,3077.0,960.6660254699514
Barangay 281,City of Manila,PH1303901281,3436.0,4287.332176660326
Barangay 282,City of Manila,PH1303901282,2503.0,5138.2110731854755
Barangay 283,City of Manila,PH1303901283,1364.0,2324.8658534843144
Barangay 284,City of Manila,PH1303901284,1076.0,2458.3154349726888
Barangay 285,City of Manila,PH1303901285,2091.0,2534.576492358989
Barangay 286,City of Manila,PH1303901286,4216.0,2121.978008680874
Barangay 297,City of Manila,PH1303901297,2015.0,1511.0909177010599
Barangay 298,City of Manila,PH1303901298,1079.0,1593.2909208950834
Barangay 299,City of Manila,PH1303901299,1447.0,1484.6911217735426
Barangay 300,City of Manila,PH1303901300,1341.0,595.9297759714891
Barangay 301,City of Manila,PH1303901301,505.0,816.0279006160059
Barangay 302,City of Manila,PH1303901302,766.0,475.9688002443162
Barangay 303,City of Manila,PH1303901303,738.0,3001.1248589631605
Barangay 304,City of Manila,PH1303901304,307.0,1289.418249625387
Barangay 305,City of Manila,PH1303901305,899.0,1727.028188060528
Barangay 310,City of Manila,PH1303901310,13761.0,3993.856864781023
Barangay 311,City of Manila,PH1303901311,1805.0,2113.1712629531453
Barangay 312,City of Manila,PH1303901312,2945.0,1674.254483459448
Barangay 313,City of Manila,PH1303901313,3587.0,2509.3164405124417
Barangay 314,City of Manila,PH1303901314,1630.0,2437.9552413210267
Barangay 315,City of Manila,PH1303901315,2150.0,3142.27368958832
Barangay 316,City of Manila,PH1303901316,856.0,893.1214741136267
Barangay 317,City of Manila,PH1303901317,1573.0,1145.0636451320995
Barangay 318,City of Manila,PH1303901318,781.0,585.6338559823067
Barangay 319,City of Manila,PH1303901319,1358.0,787.2543383829229
Barangay 320,City of Manila,PH1303901320,1416.0,1121.6762609072616
Barangay 321,City of Manila,PH1303901321,384.0,600.3320879526486
Barangay 322,City of Manila,PH1303901322,867.0,701.4914144660302
Barangay 323,City of Manila,PH1303901323,1076.0,1098.036943914125
Barangay 324,City of Manila,PH1303901324,643.0,575.4813246372906
Barangay 325,City of Manila,PH1303901325,526.0,455.02633035220026
Barangay 326,City of Manila,PH1303901326,841.0,566.0477741664076
Barangay 327,City of Manila,PH1303901327,1242.0,1409.436914594104
Barangay 328,City of Manila,PH1303901328,659.0,531.7766444691327
Barangay 329,City of Manila,PH1303901329,459.0,752.2971982650382
Barangay 330,City of Manila,PH1303901330,2949.0,1260.0662757609964
Barangay 331,City of Manila,PH1303901331,860.0,6387.842022229528
Barangay 332,City of Manila,PH1303901332,640.0,576.0654960359471
Barangay 333,City of Manila,PH1303901333,1024.0,763.1490804905824
Barangay 334,City of Manila,PH1303901334,1467.0,1401.637472059282
Barangay 335,City of Manila,PH1303901335,1078.0,1329.1968843334212
Barangay 336,City of Manila,PH1303901336,1986.0,1507.9484478843688
Barangay 337,City of Manila,PH1303901337,1203.0,1331.816660109304
Barangay 338,City of Manila,PH1303901338,1426.0,1323.0954998543932
Barangay 339,City of Manila,PH1303901339,1551.0,1268.9315731438342
Barangay 340,City of Manila,PH1303901340,1785.0,1321.2213478930757
